bodyPart,equipment,name,target
chest,barbell,barbell reverse grip decline bench press,pectorals
chest,barbell,barbell reverse grip incline bench press,pectorals
back,barbell,barbell reverse grip incline bench row,upper back
upper arms,barbell,barbell reverse grip skullcrusher,triceps
upper arms,barbell,barbell reverse preacher curl,biceps
lower arms,barbell,barbell reverse wrist curl,forearms
waist,barbell,barbell rollerout,abs
waist,barbell,barbell rollerout from bench,abs
upper legs,barbell,barbell romanian deadlift,glutes
shoulders,barbell,barbell seated behind head military press,delts
shoulders,barbell,barbell seated bradford rocky press,delts
lower legs,barbell,barbell seated calf raise,calves
lower legs,barbell,barbell seated calf raise,calves
upper arms,barbell,barbell seated close grip behind neck triceps extension,triceps
upper arms,barbell,barbell seated close-grip concentration curl,biceps
upper legs,barbell,barbell seated good morning,glutes
shoulders,barbell,barbell seated overhead press,delts
upper arms,barbell,barbell seated overhead triceps extension,triceps
waist,barbell,barbell seated twist,abs
back,barbell,barbell shrug,traps
waist,barbell,barbell side bent v. 2,abs
upper legs,barbell,barbell side split squat,quads
upper legs,barbell,barbell side split squat v. 2,quads
upper legs,barbell,barbell single leg deadlift,glutes
upper legs,barbell,barbell single leg split squat,quads
waist,barbell,barbell sitted alternate leg raise,abs
waist,barbell,barbell sitted alternate leg raise (female),abs
shoulders,barbell,barbell skier,delts
upper legs,barbell,barbell speed squat,glutes
upper legs,barbell,barbell split squat v. 2,quads
upper legs,barbell,barbell squat (on knees),quads
upper legs,barbell,barbell squat jump step rear lunge,quads
waist,barbell,barbell standing ab rollerout,abs
lower arms,barbell,barbell standing back wrist curl,forearms
shoulders,barbell,barbell standing bradford press,delts
lower legs,barbell,barbell standing calf raise,calves
upper arms,barbell,barbell standing close grip curl,biceps
shoulders,barbell,barbell standing close grip military press,delts
upper arms,barbell,barbell standing concentration curl,biceps
shoulders,barbell,barbell standing front raise over head,delts
lower legs,barbell,barbell standing leg calf raise,calves
upper arms,barbell,barbell standing overhead triceps extension,triceps
upper arms,barbell,barbell standing reverse grip curl,biceps
lower legs,barbell,barbell standing rocking leg calf raise,calves
waist,barbell,barbell standing twist,abs
upper arms,barbell,barbell standing wide grip biceps curl,biceps
shoulders,barbell,barbell standing wide military press,delts
upper arms,barbell,barbell standing wide-grip curl,biceps
upper legs,barbell,barbell step-up,glutes
upper legs,barbell,barbell stiff leg good morning,glutes
upper legs,barbell,barbell straight leg deadlift,hamstrings
upper legs,barbell,barbell sumo deadlift,glutes
shoulders,barbell,barbell thruster,delts
shoulders,barbell,barbell upright row,delts
shoulders,barbell,barbell upright row v. 2,delts
shoulders,barbell,barbell upright row v. 3,delts
chest,barbell,barbell wide bench press,pectorals
chest,barbell,barbell wide reverse grip bench press,pectorals
upper legs,barbell,barbell wide squat,quads
shoulders,barbell,barbell wide-grip upright row,delts
lower arms,barbell,barbell wrist curl,forearms
lower arms,barbell,barbell wrist curl v. 2,forearms
upper legs,barbell,barbell zercher squat,glutes
upper legs,body weight,basic toe touch (male),glutes
shoulders,rope,battling ropes,delts
cardio,body weight,bear crawl,cardiovascular system
chest,assisted,behind head chest stretch,pectorals
upper arms,body weight,bench dip (knees bent),triceps
upper arms,body weight,bench dip on floor,triceps
upper legs,body weight,bench hip extension,glutes
back,body weight,bench pull-ups,lats
upper legs,body weight,bent knee lying twist (male),glutes
upper arms,body weight,biceps leg concentration curl,biceps
upper arms,body weight,biceps narrow pull-ups,biceps
upper arms,body weight,biceps pull-up,biceps
upper arms,body weight,body-up,triceps
upper legs,body weight,bodyweight drop jump squat,glutes
waist,body weight,bodyweight incline side plank,abs
upper arms,body weight,bodyweight kneeling triceps extension,triceps
upper arms,body weight,bodyweight side lying biceps curl,biceps
back,body weight,bodyweight squatting row,upper back
back,body weight,bodyweight squatting row (with towel),upper back
lower legs,body weight,bodyweight standing calf raise,calves
back,body weight,bodyweight standing close-grip one arm row,upper back
back,body weight,bodyweight standing close-grip row,upper back
back,body weight,bodyweight standing one arm row,upper back
back,body weight,bodyweight standing one arm row (with towel),upper back
back,body weight,bodyweight standing row,upper back
back,body weight,bodyweight standing row (with towel),upper back
waist,body weight,bottoms-up,abs
lower legs,body weight,box jump down with one leg stabilization,calves
waist,body weight,bridge - mountain climber (cross body),abs
cardio,body weight,burpee,cardiovascular system
waist,body weight,butt-ups,abs
upper legs,body weight,butterfly yoga pose,adductors
shoulders,cable,cable alternate shoulder press,delts
upper arms,cable,cable alternate triceps extension,triceps
upper legs,cable,cable assisted inverse leg curl,hamstrings
back,cable,cable bar lateral pulldown,lats
chest,cable,cable bench press,pectorals
upper arms,cable,cable close grip curl,biceps
upper arms,cable,cable concentration curl,biceps
upper arms,cable,cable concentration extension (on knee),triceps
back,cable,cable cross-over lateral pulldown,lats
shoulders,cable,cable cross-over revers fly,delts
chest,cable,cable cross-over variation,pectorals
upper arms,cable,cable curl,biceps
upper legs,cable,cable deadlift,glutes
chest,cable,cable decline fly,pectorals
chest,cable,cable decline one arm press,pectorals
chest,cable,cable decline press,pectorals
back,cable,cable decline seated wide-grip row,upper back
upper arms,cable,cable drag curl,biceps
back,cable,cable floor seated wide-grip row,upper back
shoulders,cable,cable forward raise,delts
shoulders,cable,cable front raise,delts
shoulders,cable,cable front shoulder raise,delts
upper arms,cable,cable hammer curl (with rope),biceps
upper arms,cable,cable high pulley overhead tricep extension,triceps
back,cable,cable high row (kneeling),upper back
upper legs,cable,cable hip adduction,adductors
chest,cable,cable incline bench press,pectorals
back,cable,cable incline bench row,upper back
chest,cable,cable incline fly,pectorals
chest,cable,cable incline fly (on stability ball),pectorals
back,cable,cable incline pushdown,lats
upper arms,cable,cable incline triceps extension,triceps
waist,cable,cable judo flip,abs
upper arms,cable,cable kickback,triceps
waist,cable,cable kneeling crunch,abs
shoulders,cable,cable kneeling rear delt row (with rope) (male),delts
upper arms,cable,cable kneeling triceps extension,triceps
back,cable,cable lat pulldown full range of motion,lats
back,cable,cable lateral pulldown (with rope attachment),lats
back,cable,cable lateral pulldown with v-bar,lats
shoulders,cable,cable lateral raise,delts
chest,cable,cable low fly,pectorals
back,cable,cable low seated row,upper back
upper arms,cable,cable lying bicep curl,biceps
upper arms,cable,cable lying close-grip curl,biceps
back,cable,cable lying extension pullover (with rope attachment),lats
chest,cable,cable lying fly,pectorals
upper arms,cable,cable lying triceps extension v. 2,triceps
chest,cable,cable middle fly,pectorals
back,cable,cable one arm bent over row,upper back
upper arms,cable,cable one arm curl,biceps
chest,cable,cable one arm decline chest fly,pectorals
chest,cable,cable one arm fly on exercise ball,pectorals
chest,cable,cable one arm incline fly on exercise ball,pectorals
chest,cable,cable one arm incline press,pectorals
chest,cable,cable one arm incline press on exercise ball,pectorals
chest,cable,cable one arm lateral bent-over,pectorals
shoulders,cable,cable one arm lateral raise,delts
upper arms,cable,cable one arm preacher curl,biceps
chest,cable,cable one arm press on exercise ball,pectorals
back,cable,cable one arm pulldown,lats
upper arms,cable,cable one arm reverse preacher curl,biceps
back,cable,cable one arm straight back high row (kneeling),upper back
upper arms,cable,cable one arm tricep pushdown,triceps
upper arms,cable,cable overhead curl,biceps
upper arms,cable,cable overhead curl on exercise ball,biceps
upper arms,cable,cable overhead triceps extension (rope attachment),triceps
back,cable,cable palm rotational row,upper back
upper arms,cable,cable preacher curl,biceps
chest,cable,cable press on exercise ball,pectorals
upper legs,cable,cable pull through (with rope),glutes
back,cable,cable pulldown,lats
back,cable,cable pulldown (pro lat bar),lats
upper arms,cable,cable pulldown bicep curl,biceps
upper arms,cable,cable pushdown,triceps
back,cable,cable pushdown (straight arm) v. 2,lats
upper arms,cable,cable pushdown (with rope attachment),triceps
shoulders,cable,cable rear delt row (stirrups),delts
shoulders,cable,cable rear delt row (with rope),delts
upper arms,cable,cable rear drive,triceps
back,cable,cable rear pulldown,lats
waist,cable,cable reverse crunch,abs
upper arms,cable,cable reverse curl,biceps
upper arms,cable,cable reverse grip triceps pushdown (sz-bar) (with arm blaster),triceps
upper arms,cable,cable reverse one arm curl,biceps
upper arms,cable,cable reverse preacher curl,biceps
lower arms,cable,cable reverse wrist curl,forearms
upper arms,cable,cable reverse-grip pushdown,triceps
back,cable,cable reverse-grip straight back seated high row,upper back
back,cable,cable rope crossover seated row,upper back
back,cable,cable rope elevated seated row,upper back
back,cable,cable rope extension incline bench row,upper back
upper arms,cable,cable rope hammer preacher curl,biceps
upper arms,cable,cable rope high pulley overhead tricep extension,triceps
upper arms,cable,cable rope incline tricep extension,triceps
upper arms,cable,cable rope lying on floor tricep extension,triceps
upper arms,cable,cable rope one arm hammer preacher curl,biceps
back,cable,cable rope seated row,upper back
waist,cable,cable russian twists (on stability ball),abs
chest,cable,cable seated chest press,pectorals
waist,cable,cable seated crunch,abs
upper arms,cable,cable seated curl,biceps
back,cable,cable seated high row (v-bar),lats
back,cable,cable seated one arm alternate row,upper back
upper arms,cable,cable seated one arm concentration curl,biceps
upper arms,cable,cable seated overhead curl,biceps
shoulders,cable,cable seated rear lateral raise,delts
back,cable,cable seated row,upper back
shoulders,cable,cable seated shoulder internal rotation,delts
waist,cable,cable seated twist,abs
back,cable,cable seated wide-grip row,upper back
shoulders,cable,cable shoulder press,delts
back,cable,cable shrug,traps
waist,cable,cable side bend,abs
waist,cable,cable side bend crunch (bosu ball),abs
waist,cable,cable side crunch,abs
back,cable,cable squat row (with rope attachment),lats
upper arms,cable,cable squatting curl,biceps
lower arms,cable,cable standing back wrist curl,forearms
lower legs,cable,cable standing calf raise,calves
shoulders,cable,cable standing cross-over high reverse fly,delts
waist,cable,cable standing crunch,abs
waist,cable,cable standing crunch (with rope attachment),abs
chest,cable,cable standing fly,pectorals
upper legs,cable,cable standing hip extension,glutes
upper arms,cable,cable standing inner curl,biceps
waist,cable,cable standing lift,abs
upper arms,cable,cable standing one arm triceps extension,triceps
lower legs,cable,cable standing one leg calf raise,calves
upper arms,cable,cable standing pulldown (with rope),biceps
shoulders,cable,cable standing rear delt row (with rope),delts
upper arms,cable,cable standing reverse grip one arm overhead tricep extension,triceps
back,cable,cable standing row (v-bar),upper back
shoulders,cable,cable standing shoulder external rotation,delts
back,cable,cable standing twist row (v-bar),upper back
chest,cable,cable standing up straight crossovers,pectorals
back,cable,cable straight arm pulldown,lats
back,cable,cable straight arm pulldown (with rope),lats
back,cable,cable straight back seated row,upper back
shoulders,cable,cable supine reverse fly,delts
back,cable,cable thibaudeau kayak row,lats
upper arms,cable,cable triceps pushdown (v-bar),triceps
upper arms,cable,cable triceps pushdown (v-bar) (with arm blaster),triceps
waist,cable,cable tuck reverse crunch,abs
waist,cable,cable twist,abs
waist,cable,cable twist (up-down),abs
back,cable,cable twisting pull,lats
upper arms,cable,cable two arm curl on incline bench,biceps
upper arms,cable,cable two arm tricep kickback,triceps
back,cable,cable underhand pulldown,lats
chest,cable,cable upper chest crossovers,pectorals
back,cable,cable upper row,upper back
shoulders,cable,cable upright row,delts
back,cable,cable wide grip rear pulldown behind neck,lats
lower arms,cable,cable wrist curl,forearms
lower legs,body weight,calf push stretch with hands against wall,calves
lower legs,body weight,calf stretch with hands against wall,calves
lower legs,rope,calf stretch with rope,calves
back,barbell,cambered bar lying row,upper back
waist,body weight,captains chair straight leg raise,abs
upper legs,body weight,chair leg extended stretch,quads
chest,body weight,chest and front of shoulder stretch,pectorals
chest,body weight,chest dip,pectorals
chest,body weight,chest dip (on dip-pull-up cage),pectorals
chest,body weight,chest dip on straight bar,pectorals
chest,stability ball,chest stretch with exercise ball,pectorals
chest,body weight,chest tap push-up (male),pectorals
back,body weight,chin-up,lats
back,body weight,chin-ups (narrow parallel grip),upper back
lower legs,body weight,circles knee stretch,calves
chest,body weight,clap push up,pectorals
chest,body weight,clock push-up,pectorals
back,body weight,close grip chin-up,lats
upper arms,body weight,close-grip push-up,triceps
upper arms,body weight,close-grip push-up (on knees),triceps
waist,body weight,cocoons,abs
waist,body weight,crab twist toe touch,abs
waist,body weight,cross body crunch,abs
waist,body weight,crunch (hands overhead),abs
waist,stability ball,crunch (on stability ball),abs
waist,stability ball,"crunch (on stability ball, arms straight)",abs
waist,body weight,crunch floor,abs
waist,body weight,curl-up,abs
upper legs,body weight,curtsey squat,glutes
cardio,leverage machine,cycle cross trainer,cardiovascular system
waist,body weight,dead bug,abs
waist,body weight,decline crunch,abs
chest,body weight,decline push-up,pectorals
waist,body weight,decline sit-up,abs
chest,dumbbell,deep push up,pectorals
upper arms,body weight,diamond push-up,triceps
lower legs,body weight,donkey calf raise,calves
chest,body weight,drop push up,pectorals
upper arms,dumbbell,dumbbell alternate biceps curl,biceps
upper arms,dumbbell,dumbbell alternate biceps curl (with arm blaster),biceps
upper arms,dumbbell,dumbbell alternate hammer preacher curl,biceps
upper arms,dumbbell,dumbbell alternate preacher curl,biceps
upper arms,dumbbell,dumbbell alternate seated hammer curl,biceps
shoulders,dumbbell,dumbbell alternate side press,delts
upper arms,dumbbell,dumbbell alternating bicep curl with leg raised on exercise ball,biceps
upper arms,dumbbell,dumbbell alternating seated bicep curl on exercise ball,biceps
shoulders,dumbbell,dumbbell arnold press,delts
shoulders,dumbbell,dumbbell arnold press v. 2,delts
chest,dumbbell,dumbbell around pullover,pectorals
chest,dumbbell,dumbbell bench press,pectorals
shoulders,dumbbell,dumbbell bench seated press,delts
upper legs,dumbbell,dumbbell bench squat,glutes
back,dumbbell,dumbbell bent over row,upper back
upper arms,dumbbell,dumbbell bicep curl lunge with bowling motion,biceps
upper arms,dumbbell,dumbbell bicep curl on exercise ball with leg raised,biceps
upper arms,dumbbell,dumbbell bicep curl with stork stance,biceps
upper arms,dumbbell,dumbbell biceps curl,biceps
upper arms,dumbbell,dumbbell biceps curl (with arm blaster),biceps
upper arms,dumbbell,dumbbell biceps curl reverse,biceps
upper arms,dumbbell,dumbbell biceps curl squat,biceps
upper arms,dumbbell,dumbbell biceps curl v sit on bosu ball,biceps
cardio,dumbbell,dumbbell burpee,cardiovascular system
upper legs,dumbbell,dumbbell clean,glutes
upper arms,dumbbell,dumbbell close grip press,triceps
upper arms,dumbbell,dumbbell close-grip press,triceps
upper arms,dumbbell,dumbbell concentration curl,biceps
upper legs,dumbbell,dumbbell contralateral forward lunge,glutes
upper arms,dumbbell,dumbbell cross body hammer curl,biceps
upper arms,dumbbell,dumbbell cross body hammer curl v. 2,biceps
shoulders,dumbbell,dumbbell cuban press,delts
shoulders,dumbbell,dumbbell cuban press v. 2,delts
upper legs,dumbbell,dumbbell deadlift,glutes
chest,dumbbell,dumbbell decline bench press,pectorals
chest,dumbbell,dumbbell decline fly,pectorals
chest,dumbbell,dumbbell decline hammer press,pectorals
chest,dumbbell,dumbbell decline one arm fly,pectorals
upper arms,dumbbell,dumbbell decline one arm hammer press,triceps
back,dumbbell,dumbbell decline shrug,traps
back,dumbbell,dumbbell decline shrug v. 2,traps
upper arms,dumbbell,dumbbell decline triceps extension,triceps
chest,dumbbell,dumbbell decline twist fly,pectorals
lower arms,dumbbell,dumbbell finger curls,forearms
chest,dumbbell,dumbbell fly,pectorals
chest,dumbbell,dumbbell fly on exercise ball,pectorals
upper arms,dumbbell,dumbbell forward lunge triceps extension,triceps
shoulders,dumbbell,dumbbell front raise,delts
shoulders,dumbbell,dumbbell front raise v. 2,delts
shoulders,dumbbell,dumbbell full can lateral raise,delts
upper legs,dumbbell,dumbbell goblet squat,quads
upper arms,dumbbell,dumbbell hammer curl,biceps
upper arms,dumbbell,dumbbell hammer curl on exercise ball,biceps
upper arms,dumbbell,dumbbell hammer curl v. 2,biceps
upper arms,dumbbell,dumbbell hammer curls (with arm blaster),biceps
upper arms,dumbbell,dumbbell high curl,biceps
chest,dumbbell,dumbbell incline alternate press,pectorals
chest,dumbbell,dumbbell incline bench press,pectorals
upper arms,dumbbell,dumbbell incline biceps curl,biceps
chest,dumbbell,dumbbell incline breeding,pectorals
upper arms,dumbbell,dumbbell incline curl,biceps
upper arms,dumbbell,dumbbell incline curl v. 2,biceps
chest,dumbbell,dumbbell incline fly,pectorals
chest,dumbbell,dumbbell incline fly on exercise ball,pectorals
upper arms,dumbbell,dumbbell incline hammer curl,biceps
chest,dumbbell,dumbbell incline hammer press,pectorals
upper arms,dumbbell,dumbbell incline hammer press on exercise ball,triceps
upper arms,dumbbell,dumbbell incline inner biceps curl,biceps
chest,dumbbell,dumbbell incline one arm fly,pectorals
chest,dumbbell,dumbbell incline one arm fly on exercise ball,pectorals
upper arms,dumbbell,dumbbell incline one arm hammer press,triceps
upper arms,dumbbell,dumbbell incline one arm hammer press on exercise ball,triceps
shoulders,dumbbell,dumbbell incline one arm lateral raise,delts
chest,dumbbell,dumbbell incline one arm press,pectorals
chest,dumbbell,dumbbell incline one arm press on exercise ball,pectorals
chest,dumbbell,dumbbell incline palm-in press,pectorals
chest,dumbbell,dumbbell incline press on exercise ball,pectorals
shoulders,dumbbell,dumbbell incline raise,delts
shoulders,dumbbell,dumbbell incline rear lateral raise,delts
back,dumbbell,dumbbell incline row,upper back
chest,dumbbell,dumbbell incline shoulder raise,serratus anterior
back,dumbbell,dumbbell incline shrug,traps
shoulders,dumbbell,dumbbell incline t-raise,delts
upper arms,dumbbell,dumbbell incline triceps extension,triceps
chest,dumbbell,dumbbell incline twisted flyes,pectorals
upper arms,dumbbell,dumbbell incline two arm extension,triceps
back,dumbbell,dumbbell incline y-raise,upper back
shoulders,dumbbell,dumbbell iron cross,delts
upper arms,dumbbell,dumbbell kickback,triceps
upper arms,dumbbell,dumbbell kickbacks on exercise ball,triceps
upper arms,dumbbell,dumbbell kneeling bicep curl exercise ball,biceps
shoulders,dumbbell,dumbbell lateral raise,delts
shoulders,dumbbell,dumbbell lateral to front raise,delts
upper legs,dumbbell,dumbbell lunge,glutes
upper arms,dumbbell,dumbbell lunge with bicep curl,biceps
upper arms,dumbbell,dumbbell lying extension (across face),triceps
upper arms,dumbbell,dumbbell lying alternate extension,triceps
upper arms,dumbbell,dumbbell lying elbow press,triceps
shoulders,dumbbell,dumbbell lying external shoulder rotation,delts
upper legs,dumbbell,dumbbell lying femoral,hamstrings
chest,dumbbell,dumbbell lying hammer press,pectorals
shoulders,dumbbell,dumbbell lying on floor rear delt raise,delts
shoulders,dumbbell,dumbbell lying one arm deltoid rear,delts
chest,dumbbell,dumbbell lying one arm press,pectorals
chest,dumbbell,dumbbell lying one arm press v. 2,pectorals
upper arms,dumbbell,dumbbell lying one arm pronated triceps extension,triceps
shoulders,dumbbell,dumbbell lying one arm rear lateral raise,delts
upper arms,dumbbell,dumbbell lying one arm supinated triceps extension,triceps
lower arms,dumbbell,dumbbell lying pronation,forearms
lower arms,dumbbell,dumbbell lying pronation on floor,forearms
chest,dumbbell,dumbbell lying pullover on exercise ball,pectorals
back,dumbbell,dumbbell lying rear delt row,upper back
shoulders,dumbbell,dumbbell lying rear lateral raise,delts
upper arms,dumbbell,dumbbell lying single extension,triceps
lower arms,dumbbell,dumbbell lying supination,forearms
lower arms,dumbbell,dumbbell lying supination on floor,forearms
upper arms,dumbbell,dumbbell lying supine biceps curl,biceps
upper arms,dumbbell,dumbbell lying supine curl,biceps
upper arms,dumbbell,dumbbell lying triceps extension,triceps
upper arms,dumbbell,dumbbell lying wide curl,biceps
upper arms,dumbbell,dumbbell neutral grip bench press,triceps
chest,dumbbell,dumbbell one arm bench fly,pectorals
back,dumbbell,dumbbell one arm bent-over row,upper back
chest,dumbbell,dumbbell one arm chest fly on exercise ball,pectorals
upper arms,dumbbell,dumbbell one arm concetration curl (on stability ball),biceps
chest,dumbbell,dumbbell one arm decline chest press,pectorals
chest,dumbbell,dumbbell one arm fly on exercise ball,pectorals
upper arms,dumbbell,dumbbell one arm french press on exercise ball,triceps
upper arms,dumbbell,dumbbell one arm hammer preacher curl,biceps
upper arms,dumbbell,dumbbell one arm hammer press on exercise ball,triceps
chest,dumbbell,dumbbell one arm incline chest press,pectorals
upper arms,dumbbell,dumbbell one arm kickback,triceps
shoulders,dumbbell,dumbbell one arm lateral raise,delts
shoulders,dumbbell,dumbbell one arm lateral raise with support,delts
chest,dumbbell,dumbbell one arm press on exercise ball,pectorals
upper arms,dumbbell,dumbbell one arm prone curl,biceps
upper arms,dumbbell,dumbbell one arm prone hammer curl,biceps
chest,dumbbell,dumbbell one arm pullover on exercise ball,pectorals
lower arms,dumbbell,dumbbell one arm revers wrist curl,forearms
shoulders,dumbbell,dumbbell one arm reverse fly (with support),delts
